Code,Name,Description,Vector,Credits,Price,Availability,Equivalences,Exclusion,Prereq1,Prereq2,Prereq3,Prereq4,Coreq1,Coreq2,isHonours,maxCredits
GISC381,Fundamentals of Geographic Information Science II,GIS; remote sensing; GPS; geostatistics; spatial analysis; and neighbourhood analysis; visualization; 3D rendering; and animation; principles of geocoding; online mapping and open-source GIS; applied project and workflow management. Laboratory exercises require ArcGIS. Credit will be granted for only one of GISC 381; GEOG 381; or EESC 381.,,3,,0;1;0;0,,GEOG381;EESC381,GISC380;EESC380;GEOG380,,,,,,,
GISC480,Practical Applications in GIS,"Application of GIS principles and tools in a problem solving context. Case studies are used as the basis for student projects, emphasising data sourcing, data analysis, decision-support, and project management skills. Laboratory and term projects require ArcGIS.",,3,,0;1;0;0,,,GISC381;EESC381;GEOG381,,,,,,,
MATH100,Differential Calculus with Applications to Physical Sciences and Engineering,Derivatives of elementary functions; limits. Covers applications and modelling: graphing and optimization. Credit will be granted for only one of MATH 100 or MATH 116. ,[3-1-0],3,,1;1;1;0,MATH116,,,,,,,,,
MATH101,Integral Calculus with Applications to Physical Sciences and Engineering,Definite integral; integration techniques; applications; modelling; linear ODE's. Credit will be granted for only one of MATH 101 or MATH 142.,[3-1-0],3,,1;1;1;1,MATH142,,MATH100;MATH116,,,,,,,
MATH103,Integral Calculus with Applications to Life Sciences,"Antiderivatives, the definite integral, integration techniques, numerical integration, infinite series, applications of integration to differential equations and probability, linear algebra.",,3,,0;1;0;0,MATH101;MATH142,,MATH100;MATH116,,,,,,,
MATH116,Calculus I for Management and Economics,The derivative; limits; rate of change; derivatives of algebraic; logarithmic; trigonometric and exponential functions; applications to marginal analysis; elasticity of demand; optimization and curve-sketching; Newtons Method and Taylor polynomials. Credit will be granted for only one of MATH 116 or MATH 100. ,[3-0-1],3,,1;1;0;0,MATH100,,MATH125-60;MATH126-60,,,,,,,
MATH125,Pre-Calculus,Prepares students for a calculus course. Functions and their graphs; inverse functions; algebraic; exponential; logarithmic; trigonometric functions; trigonometric identities; matrices; determinants; complex numbers; binomial theorem; sequences; series; conic sections. Cannot be counted for credit toward the B.Sc. or B.M.S. degree. Credit will be granted for only one of MATH 125 or MATH 126. Students with credit for MATH 100 or 116 may not take MATH 125 for further credit. ,[3-0-1],3,,1;1;0;1,MATH126,,,,,,,,,
MATH126,Basic Mathematics: An Aboriginal Perspective,Prepares students for calculus. Functions; graphs; inverse; algebraic; exponential; logarithmic; trigonometric functions; trigonometric identities; matrices; determinants; complex numbers; binomial theorem; sequences; series; conic sections. Uses cyclical analysis common in some Aboriginal cultures. Cannot be counted for credit toward the B.Sc. or B.M.S. degree. Credit will be granted for only one of MATH 126 or 125. Students with credit for MATH 100 or 116 may not take MATH 126 for credit. ,[3-0-1],3,,0;1;0;0,MATH125,,,,,,,,,
MATH142,Calculus II for Management and Economics,Continuation of MATH 116. Antiderivatives; the definite integral; integration techniques; numerical integration; double integrals; applications of integration including application to probability; elementary differential equations; functions of several variables; partial derivatives; Lagrange multipliers. Credit will be granted for only one of MATH 142 or MATH 101. ,[3-0-0],3,,0;1;0;0,MATH101,,MATH100;MATH116,,,,,,,
MATH199,,,,3,,0;0;0;0,,,,,,,,,,
MATH200,Calculus III,Analytic geometry in two and three dimensions; partial and directional derivatives; chain rule; maxima and minima; second derivative test; Lagrange multipliers; multiple integrals with applications.,[3-1-0],3,,1;0;1;0,,,MATH101,,,,,,,
MATH220,Mathematical Proof,Sets and functions; induction; cardinality; properties of the real numbers; sequences; series; and limits. Logic; structure; style; and clarity of proofs emphasized throughout.,,3,,1;0;0;0,,,MATH101,,,,,,,
MATH221,Matrix Algebra,Systems of linear equations; operations on matrices; determinants; eigenvalues and eigenvectors; diagonalization of symmetric matrices.,[3-1-0],3,,1;1;1;0,,,MATH100;MATH116,,,,MATH101;MATH142,,,
MATH225,Introduction to Differential Equations,First-order equations; initial value problems; existence and uniqueness theorems; second-order linear equations; superposition of solutions; independence; general solutions; non-homogeneous equations; phaseplane analysis; numerical methods; matrix methods for linear systems; and applications of differential equations to the physical; biological; and social sciences.,,3,,0;1;0;0,,,MATH101,,,,MATH221,,,
MATH302,Introduction to Probability,Basic notions of probability; random variables; expectation and conditional expectation; limit theorems.,,3,,1;0;0;0,STAT303,,MATH200,,,,,,,
MATH303,Numerical Analysis,Numerical techniques for basic mathematical processes and their analysis. Taylor polynomials; root-finding; linear systems; eigenvalues; approximating derivatives; locating minimizers; approximating integrals; solving differential equations. Credit will be granted for only one of MATH 303 or COSC 303.,,3,,0;1;0;0,COSC303,,MATH200,MATH221,COSC111;DATA301,,,,,
MATH307,Applied Linear Algebra,Dependence/independence; bases and orthogonality; linear transformations from Rn to Rm; change of basis; triangularization; quadratic forms in variables.,,3,,0;1;0;0,,,MATH221,,,,,,,
MATH311,Abstract Algebra I,"Properties of integers, the integers modulo n, groups, subgroups, cyclic groups, permutation groups, linear groups, quotient groups and homomorphisms, isomorphism theorems, direct products, and an introduction to rings and fields.",,3,,1;0;0;0,,,MATH220,,,,,,,
MATH312,Introduction to Number Theory,"Divisibility of integers, congruences, Euler's Theorem, primitive roots, quadratic reciprocity, special Diophantine equations, distributions of primes.",,3,,1;0;0;0,,,MATH220,,,,,,,
MATH317,Calculus IV,Parametrizations; inverse and implicit functions; integrals with respect to length and area; grad; div; and curl; and theorems of Green; Gauss; and Stokes.,,3,,0;1;0;0,,,MATH200,,,,,,,
MATH319,Introduction to Partial Differential Equations,Methods of separation of variable; Fourier series; heat; wave and Laplace's equations; boundary value problems; eigenfunction expansions; and Sturm-Liouville problems.,,3,,1;0;0;0,,,MATH200,MATH225,,,,,,
MATH327,Analysis I,Provides a rigorous foundation of calculus. Real numbers; limits and continuous functions; differentiation; elementary functions; the elementary real integral; normed vector spaces.,,3,,1;0;0;0,,,MATH220,,,,,,,
MATH328,Analysis II,"Metric and normed vector spaces; limits in normed vector spaces, compactness; sequences and series of functions, approximation of continuous functions by polynomials; functions from Rm to Rn, inverse and implicit function theorems.",,3,,0;1;0;0,,,MATH327,,,,,,,
MATH330,Abstract Algebra II,"Covers properties of rings and fields, factorization, polynomials over a field, field extensions, field isomorphisms and automorphism, group of automorphisms, and Galois theory of unsolvability.",,3,,0;1;0;0,,,MATH311,,,,,,,
MATH340,Introduction to Linear Programming,Linear programming problems; dual problems; the simplex algorithm; solution of primal and dual problems; sensitivity analysis. Additional topics chosen from: Karmarkar's algorithm; non-linear programming; game theory; applications.,,3,,1;0;0;0,,,MATH221,,,,,,,
MATH350,Complex Variables and Applications,"Covers analytic functions, Cauchy-Riemann equations, power series, Laurent series, elementary functions, contour integrals, and poles and residues. Introduction to conformal mapping and applications of analysis to problems in physics and engineering.",,3,,0;1;0;0,,,MATH200,,,,,,,
MATH430,,,,3,,0;0;0;0,,,,,,,,,,
MATH441,,,,3,,0;0;0;0,,,,,,,,,,
MATH443,Graph Theory,"Introductory course in mostly non-algorithmic topics. Planarity and Kuratowski's theorem, graph colouring, graph minors, random graphs, cycles in graphs, Ramsey theory, extremal graph theory. Proofs emphasized.",,3,,0;1;0;0,,,4,,,,,,,
MATH448,Directed Studies in Mathematics,,,3,,1;1;0;0,,,3,,,,,,,6
MATH459,Mathematical Biology,"Mathematical modelling in biological disciplines such as population dynamics, ecology, pattern formation, tumour growth, immune response, biomechanics, and epidemiology. Theory of such models formulated as difference equations, ordinary differential equations, and partial differential equations.",,3,,1;0;0;0,,,MATH225,,,,,,,
MATH461,Continuous Optimization,Convex analysis; non-smooth optimization; Karush-Kuhn-Tucker theorem; iterative methods.,,3,,0;1;0;0,,,MATH327,,,,,,,
MATH462,Derivative-Free Optimization,"Mathematical analysis and development of derivative-free optimization methods. Heuristic methods, direct search methods, model-based methods, convergence analysis, topics in implementation and testing.",,3,,1;0;0;0,,,3,MATH200,MATH220,MATH221,,,,
MATH464,Nonconvex Optimization,"Nonconvex analysis, semi-continuous functions, Lipschitz functions, tangent cone, normal cone, subdifferentials, optimality conditions, regularizations, algorithms for nonconvex optimization.",,3,,0;1;0;0,,,MATH327,,,,,,,
MATH465,Splitting Algorithms and Modern Operator Theory,"Splitting Algorithms. Monotone operators, inclusion problems and duality, non-expansive mappings, fundamental algorithms and variants featuring acceleration and randomization.",,3,,0;1;0;0,,,MATH327,,,,,,,
MGMT350,,,,3,,0;0;0;0,,,,,,,,,,
MGMT423,,,,3,,0;0;0;0,,,,,,,,,,
MGMT460,,,,3,,0;0;0;0,,,,,,,,,,
PHIL331,Computer Ethics,Ethical and professional issues facing those who work with computers. Piracy; hacking; responsibility; and liability for the use of software; cyberpornography and freedom of information; computerized invasion of privacy; computers in the workplace; the use of artificial intelligence; and expert systems. ,[3-0-0],3,,1;1;1;0,,,3,,,,,,,
PHYS111,Introductory Physics for the Physical Sciences I,Introduction to mechanics primarily for students majoring in the physical sciences (e.g. physics; chemistry; mathematics; computer science; geology; physical geography) or engineering. Particle kinematics and dynamics; work and energy; momentum; gravitation; rigid body motion; fluid statics and dynamics with applications to the physical sciences. Credit will be granted for only one of PHYS 111 and PHYS 112. Students with Physics 12 may apply for a tutorial exemption. ,[3-3-1],3,,1;0;0;0,PHYS112,,,,,,MATH100,,,
PHYS112,Introductory Physics for the Life Sciences I,Introduction to mechanics primarily for students majoring in the life sciences (e.g. biochemistry; biology; microbiology; pharmacy; human kinetics; human geography or psychology). Particle kinematics and dynamics; work and energy; momentum; gravitation; rigid body motion; fluid statics and dynamics with applications to the biological sciences. Credit will be granted for only one of PHYS 111 and PHYS 112. Students with Physics 12 may apply for a tutorial exemption.,[3-3-1],3,,1;0;0;0,PHYS111,,,,,,MATH100,,,
PHYS121,Introductory Physics for the Physical Sciences II,Introduction to physics primarily for students majoring in the physical sciences. Basic concepts of simple harmonic motion; sound; physical and wave optics; electricity; electric circuits; and magnetism with applications to the physical sciences. Experimental laboratory investigations in electricity; magnetism; waves and optics. Credit will be granted for only one of PHYS 102; PHYS 121 and PHYS 122. Students with Physics 12 may apply for a tutorial exemption.,[3-3-1],3,,0;1;0;0,PHYS122,,PHYS111;PHYS112,MATH100,,,MATH101,,,
PHYS122,Introductory Physics for the Life Sciences II,Introduction to physics primarily for students majoring in the life sciences. Basic concepts of simple harmonic motion; sound; physical and wave optics; electricity; electric circuits; and magnetism with biological applications. Experimental laboratory investigations in electricity; magnetism; waves and optics. Credit will be granted for only one of PHYS 102; PHYS 121 and PHYS 122. Students with PHYS 12 may apply for a tutorial exemption. ,[3-3-1],3,,0;1;0;0,PHYS121,,PHYS111;PHYS112,MATH100,,,MATH101,,,
PHYS200,Relativity and Quanta,"Special relativity: Lorentz transformation, dynamics, and conservation laws. Quantum physics: the experimental evidence for quantization; a qualitative discussion of the concepts of quantum mechanics and their application to simple systems of atoms and nuclei.",,3,,1;0;0;0,,,MATH101;MATH103,PHYS121;PHYS122,,,,,,
PHYS215,Thermodynamics,"Thermodynamics at an intermediate level. Temperature, heat and work, the First Law, heat transfer, heat engines, entropy, and the Second Law.",,3,,0;1;0;0,,,MATH101;MATH103,PHYS121;PHYS122,,,,,,
PHYS216,Mechanics I,"Review of kinematics, Newton's laws, angular momentum, and fixed axis rotation. Rigid body motion, central forces, non-inertial frames of reference.",,3,,0;1;0;0,,,MATH100;MATH116,PHYS111;PHYS112,,,,,,
PHYS219,,,,3,,0;0;0;0,,,,,,,,,,
PHYS229,,,,3,,0;0;0;0,,,,,,,,,,
PHYS231,Introduction to Electronics,Design and analysis of analog AC circuits; digital circuits; and analog-to-digital conversion methods. Basic physics laboratory skills including data collection; presentation of results; and analysis of uncertainties. Credit will be granted for only one of PHYS 231 or PHYS 219.,,3,,1;0;0;0,,,MATH101;MATH103,PHYS121;PHYS122,,,,,,
PHYS232,Modern Physics Laboratory,Selected experiments in relativity; quantum mechanics; thermodynamics; particle physics or nuclear physics. Quantitative analysis of data; methods of measurement; formal presentation of laboratory results. Credit will be granted for only one of PHYS 232 or PHYS 229.,,3,,0;1;0;0,,,MATH101;MATH103,PHYS121;PHYS122,,,,,,
PHYS301,Electricity and Magnetism,"Electric fields and potentials of static charge distributions, current, fields of moving charges, magnetic field, electromagnetic induction, Maxwell's equations.",,3,,1;0;0;0,,,MATH317,PHYS121;PHYS122,,,,,,
PHYS304,Introduction to Quantum Mechanics,"The beginnings of quantum mechanics, wave mechanics and the Schroedinger equation, one-dimensional potentials, the postulates of quantum mechanics, and applications to three-dimensional systems.",,3,,1;0;0;0,,,MATH225,PHYS200,,,,,,
PHYS305,,,,3,,0;0;0;0,,,,,,,,,,
PHYS310,Introduction to Medical Physics,Radiation interactions with matter; use of ionizing and non-ionizing radiation to diagnose and treat disease; radiation dosimetry; introduction to radiobiology; radiation effects in healthy and tumour tissue; radiation protection; medical imaging in radiation therapy.,,3,,0;1;0;0,,,3,MATH101;MATH103,PHYS121;PHYS122,,,,,
PHYS314,Fluids,"Kinetic theory: diffusion, viscosity, and sound waves. Introduction to hydrodynamics: Laminar flow, capillary and gravity waves, convection, and turbulence. Dimensional analysis.",,3,,1;0;0;0,,,MATH101;MATH103,PHYS121;PHYS122,,,,,,
PHYS320,,,,3,,0;0;0;0,,,,,,,,,,
PHYS321,,,,3,,0;0;0;0,,,,,,,,,,
PHYS324,,,,3,,0;0;0;0,,,,,,,,,,
PHYS328,Advanced Mechanics,"ariational calculus, the Lagrangian Method applied to a variety of problems, weak anharmonic perturbations of normal-mode systems, Hamilton's equations of motion, phase space, Liouville's theorem, chaos in Hamiltonian systems, rigid-body rotations in three dimensions, Lagrangian formulation of relativistic mechanics, and the Virial theorem.",,3,,0;1;0;0,,,MATH200,MATH221,MATH225,PHYS216,,,,
PHYS331,Experimental Physics I,Selected advanced physics experiments in solid-state physics; fluid dynamics; particle physics; astrophysics; optics; nonlinear dynamics or electromagnetism. Emphasis on experimental design and construction; including machine shop training. Credit will be granted for only one of PHYS 331 or PHYS 327.,,3,,0;1;0;0,,,PHYS231,PHYS232,,,,,,
PHYS332,,,,3,,0;0;0;0,,,,,,,,,,
PHYS336,Introduction to Medical Imaging and Radiation Safety,"X-ray, CT, MRI, Ultrasound and Nuclear Medicine images: creation and use to aid in the diagnosis and treatment of human health conditions. Radiation safety and regulatory aspects of Medical Imaging. Emphasis on multi-disciplines: especially the role of Physics, Mathematics, Statistics and Computer Science in the field of Medical Imaging.",,3,,0;1;0;0,COSC335,,3,PHYS121-60;PHYS122-60,,,,,,
PHYS360,,,,3,,0;0;0;0,,,,,,,,,,
PHYS400,,,,3,,0;0;0;0,,,,,,,,,,
PHYS401,Electromagnetic Theory,The application of Maxwell's theory to the propagation of electromagnetic waves.,,3,,0;1;0;0,,,PHYS301,,,,,,,
PHYS402,Advanced Quantum Mechanics,Quantum mechanical methods and concepts emphasizing operator algebra approaches. Commutation relations; quantum dynamics; approximation methods including stationary-state and time-dependent perturbation theory; interaction of radiation with matter; identical particles.,,3,,0;1;0;0,,,PHYS304,,,,,,,
PHYS403,Statistical Mechanics,"Ensemble theory, application to classical and quantum gases, and Boltzmann equation. Principles and applications of statistical mechanics. Ideal gases, degenerate Fermi gases, Bose-Einstein condensation, black body radiation, fluctuations and phase transitions.",,3,,1;0;0;0,,,MATH200,PHYS215,,,PHYS304,,,
PHYS407,Introduction to General Relativity,"Physical consequences of Einstein's equations, including the principle of equivalence, curved space-time, geodesics, the Schwarzchild solution, deflection of light, black holes, and gravitational radiation.",,3,,0;1;0;0,,,MATH225,MATH317,PHYS200,PHYS216,,,,
PHYS408,,,,3,,0;0;0;0,,,,,,,,,,
PHYS418,,,,3,,0;0;0;0,,,,,,,,,,
PHYS420,Data and Image Processing,Introduction to digital signal and image processing. Correlation; convolution; Fourier transforms; digital filtering; model of image formation and degradation; image filtering in the spatial and Fourier domain; deconvolution; multivariate analysis.,,3,,0;1;0;0,,,MATH225,MATH317,,,,,,
PHYS425,,,,3,,0;0;0;0,,,,,,,,,,
PHYS431,,,,3,,0;0;0;0,,,,,,,,,,
PHYS441,Experimental Physics II,"Student designs and constructs a single experiment in solid-state physics, fluid dynamics, particle physics, astrophysics, optics or electromagnetism. Emphasis on experimental design, construction, and formal presentation of results.",,3,,0;1;0;0,,,PHYS331,,,,,,,
PHYS448,Directed Studies in Physics,The investigation of a specific topic in physics may be undertaken under the direction of a Physics department staff member.,,3,,1;1;0;0,,,3,,,,,,,6
PHYS474,Solid State Physics,"Symmetry of crystal structures, reciprocal lattice, band theory, conduction in metals and semiconductors, phonons, and superconductivity.",,3,,0;1;0;0,,,PHYS200,PHYS216,PHYS304,,,,,
PSYO111,Introduction to Psychology: Basic Processes,Survey of topics in psychology which relate to basic processes. Methods and statistics; the nervous system and physiological processes; sensation and perception; learning; cognition and memory.,,3,,1;1;1;0,,,,,,,,,,
PSYO121,Introduction to Psychology: Personal Functioning,Survey of topics in psychology which relate to personal functioning. Methods and statistics; motivation and emotion; life span development; social processes; personality; abnormal behaviour; and psychotherapy.,,3,,1;1;0;1,,,PSYO111,,,,,,,
PSYO219,Introduction to Cognition,"A brief introduction to how the mind works from a cognitive perspective. Topics will be drawn from memory, decision making, reasoning, attention, object perception, and speech and language.",,3,,1;0;0;0,,,PSYO111,PSYO121,,,,,,
PSYO220,Lifespan Development,"Introduction to the field of lifespan developmental psychology. Examination of the physical, cognitive, and psychosocial development of the individual from conception through later adulthood.",,3,,1;1;0;0,,,PSYO111,PSYO121,,,,,,
PSYO230,Biopsychology of Behaviour,"Topics will include structure and function of the nervous system, research methods, and their application to a selection of the following topics: human brain damage and recovery, stress, selected psychological and neurological disorders, sleep, memory, and vision.",,3,,1;0;0;0,,,PSYO111,PSYO121,,,,,,
PSYO241,Personality,"Focuses on a variety of personality theories including psychoanalytic, behaviouristic, cognitive, humanistic, and trait perspectives. Methods of research and critical analysis of theoretical foundations and research.",,3,,0;1;0;0,,,PSYO111,PSYO121,,,,,,
PSYO252,Introduction to Social Psychology,"Introduction to social psychology. Attitudes, opinions and beliefs, persuasion, mass communication, group processes, prejudice, interpersonal attraction, conformity, aggression, and conflict.",,3,,1;0;0;0,,,PSYO111,PSYO121,,,,,,
PSYO270,Introduction to Research Methods and Design,Introduction to the procedures and difficulties in the design and critical evaluation of research in experimental psychology. Various research designs and basic statistics. A required course for students majoring in Psychology.,,3,,1;0;0;0,,,PSYO111,PSYO121,,,,,,
PSYO271,Introduction to Data Analysis,Introduction to behavioural data analysis focusing on the use of inferential statistics in psychology and the conceptual interpretation of data as related to basic experimental designs (laboratory; field research methods). A required course for students majoring in Psychology. STAT 121 is recommended.,,3,,0;1;0;0,,,PSYO270,,,,,,,
PSYO310,Learning,"A critical survey of the basic experimental findings and theory of the learning process with emphasis on the theoretical formulation of the necessary conditions for learning, retention, and transfer of training.",,3,,1;0;0;0,,,Complex,,,,,,,
PSYO311,Memory,"An examination of memory systems and how they work. Topics will focus on how we input, store, and retrieve memories; the systems that process these memories; and the disruptions of memory in amnesia, false memory, and eyewitness testimony.",,3,,0;1;0;0,,,Complex,,,,,,,
PSYO313,Visual Perception,"Examines how our brain enables us to see. Topics will focus on visual processing involved in perceiving objects, colours, movement, and depth.",,3,,1;0;0;0,,,Complex,,,,,,,
PSYO314,Non-Visual Perception,"Although vision is our primary source of information, we have several other well-developed perceptual systems. This course examines the research behind our understanding of the processing that allow us to hear, feel, touch, smell, and taste.",,3,,0;1;0;0,,,Complex,,,,,,,
PSYO315,Psychology of Touch I,"Focuses primarily on the sensory aspect of touch. Topics include: tactual perception in historical perspective, sensory and physiological bases of touch, the psychophysics of touch, thermal sensibility, pain responsiveness, and the introduction of the haptic system and its components.",,3,,1;0;0;0,,,Complex,,,,,,,
PSYO316,Psychology of Touch II,"Focuses on the perceptual aspects of touch. Perception of texture and layout, development of haptic perception, intermodality relations between vision and touch, Braille, and tactile pictures.",,3,,0;1;0;0,,,PSYO315,,,,,,,
PSYO372,Research Methods and Statistics,Examination of sophisticated research designs and associated statistical methods. Direct research experience involving design; collection; and analysis of data in a formal research report; familiarity with use of computer programs to analyze research results.,,3,,1;0;0;0,,,PSYO270-80,PSYO271-80,,,,,,
PSYO373,Advanced Research Methods and Statistics,Addresses selected issues on the validity and quality of research; complex research designs; and associated statistical analyses. Students will gain additional experience in the use of standard statistical computer programs.,,3,,0;1;0;0,,,PSYO372-76,,,,,,,
PSYO440,Introduction to Counselling and Interviewing,Theoretical and applied issues fundamental to psychological counselling and other helping professions. Development of basic interviewing skills.,,3,,1;0;0;0,,,Complex,,,,,,,
PSYO443,,,,3,,0;0;0;0,,,,,,,,,,
PSYO480,Advanced Special Topics in Psychology,Intensive examination of selected advanced topics and issues in psychology. May be repeated on a different topic for a maximum of 9 credits during complete program of study. [1-9 hours/week lecture],,3,,1;1;0;0,,,3,,,,,,,9
PSYO481,Directed Studies,Directed investigation of a research problem in psychology requiring a written report of findings.,,3,,1;1;0;0,,,3,PSYO271,,,,,,6
STAT121,Elementary Statistics,Descriptive and inferential statistics; elementary probability; probability distributions; estimation of parameters; hypotheses testing; correlation; linear regression. Credit will be granted for only one of STAT 121 or STAT 124.,[3-1-0],3,,0;1;1;0,,STAT124,MATH125-60;MATH126-60,,,,,,,
STAT124,Business Statistics,"ntroduction to surveys and simple sampling strategies; descriptive methods for one and two variables; frequency distributions; correlation and regression; descriptive methods for time series and index numbers; and probability and relationship to statistical inference. Good for CA, CMA credit.",,3,,1;1;0;0,,STAT121,,,,,,,,
STAT203,Introduction to Probability,"Combinatorics. Axioms of probability. Discrete and continuous random variables, expectation, and variance. Transformations. Central limit theorem and applications. Weak law of large numbers.",,3,,1;0;0;0,,STAT230,DATA101,MATH101;MATH103;MATH142,,,,,,
STAT205,Introduction to Mathematical Statistics,"Sampling distribution theory. Likelihood. Parameter estimation. Confidence intervals and hypothesis testing; simple regression, analysis of variance and contingency table analysis.",,3,,0;1;0;0,,STAT230,STAT203,,,,,,,
STAT224,,,,3,,0;0;0;0,,,,,,,,,,
STAT230,Introductory Statistics,Applied statistics for students with a first-year calculus background. Estimation and testing of hypotheses; problem formulation; models and basic methods in analysis of variance; linear regression; and non-parametrics. Descriptive statistics and probability are presented as a basis for such procedures. Credit will be granted for only one of STAT 121; STAT 124; or STAT 230. ,,3,,1;1;0;0,,,MATH101;MATH103;MATH142,DATA101;COSC221;ECON102,,,,,,
STAT303,Introduction to Probability,Basic notions of probability; random variables; expectation and conditional expectation and limit theorems.,,3,,1;0;0;1,MATH302,,MATH200,,,,,,,
STAT324,Mathenatical Finance,"Simple and compound interest, discount, force of interest, simple and general annuities, amortization of debts, bonds, depreciation, mortality tables, contingent payments, life annuities, insurance, and an introduction to financial derivatives.",,3,,1;0;0;0,STAT224,,MATH200,STAT205;STAT230,,,,,,
STAT400,Statistical Communication and Consulting,"Development of broad guidelines for a comprehensive approach to data analysis with a focus on communicating statistical ideas from planning experiments to the presentation of results. Topics include criteria for selection of suitable methodologies, data preparation, outlier detection, and exploratory data analysis.",,3,,1;0;0;0,,,DATA315,DATA311,,,,,,
STAT401,Probability and Statistical Inference,Formal introduction to the theory of statistical modelling with a focus on distributions of data; likelihood based inference for learning unknown parameters; construction of confidence intervals and development of tests. Bayesian methods will be used to contrast standard statistical procedures. Credit will be granted for only one of STAT 309 or STAT 401.,,3,,0;1;0;0,,,STAT303,,,,,,,
STAT403,Stochastic Processes,Random walks; Markov chains; Poisson processes; continuous time Markov chains; birth and death processes; exponential models; and applications of Markov chains.,,3,,1;0;0;0,,,3,STAT303,,,,,,
STAT406,Environmetrics,"Statistical concepts and methods in environmental science and management. Scientific problem-solving using statistical methods. Integration of the formulation of objectives, study design, and quantitative methods appropriate for the design. The role and use of statistical software packages.",,3,,1;0;0;0,,,DATA310,,,,,,,
STAT448,Directed Studies in Statistics,Investigation of a specific topic as agreed upon by the student and the faculty supervisor. Completion of a project and an oral presentation are required. No more than 6 credits of STAT 448 may be taken for credit.,,3,,1;1;0;0,,,3,,,,,,,6
STAT507,Sampling and Design,Collection of data using either designed experiments or survey samples. Planning and practice of data collection. Observational and experimental data pros and cons. Standard methods in survey samples. Experimental design review.,,3,,1;0;0;0,,DATA407,,,,,,,,
STAT538,Advanced Statistical Modelling,"Least-squares, generalized least-squares and likelihood estimation. Theory and application of parametric and non-parametric regression models such as splines, penalized splines, and generalized additive models. Assessment and treatment of data issues including missingness and measurement error. Credit will be granted for only one of DATA 410, or STAT 538.",,3,,0;1;0;0,,DATA410,,,,,,,,
STAT547,Topics in Statistics,"Topics chosen from different areas within the field of statistics, such as time series, longitudinal and multi-level modelling, multivariate analysis, machine learning, resampling and permutation methods, smoothing and filtering, survival analysis, sports analytics and spatial statistics. Content will be determined so as to complement course offerings and meet the needs of the students. With the permission of the department head, this course may be taken more than once on a different topic.",,3,,1;1;0;0,,,,,,,,,,6
STAT560,Probability and Stochastic Processes,"Theory of probability, including random variables, expectation, conditional expectation, generating functions, modes of convergence of random variables and their distributions. Applications to random models such as Markov, Poisson, birth-death, Gaussian and diffusion processes.",,3,,0;1;0;0,,,,,,,,,,
ANTH100,Introduction to Cultural Anthropology,"An overview of social and cultural anthropology its origins, its distinctive methods and concepts, and its place in the contemporary world. A critical examination of human diversity and how social and cultural differences are produced and shaped by local and global patterns.",,3,,1;1;0;1,,,,,,,,,,
ANTH103,Introduction to World Archaeology,"Peoples and cultures of prehistory. Examines archaeologists and their work in archaeological sites around the world, from the earliest evidence of humankind and hunting and gathering culture, to the emergence of civilization and state-level societies.",,3,,1;1;0;0,,,,,,,,,,
ANTH170,Introduction to Linguistic Anthropology,"Exploration of human communication, both verbal and non-verbal. The structure, cognitive role, and social functions of the spoken languages of the world will be emphasized.",,3,,1;1;1;0,,,,,,,,,,
ANTH200,Public Anthropology: Engagement and Advocacy,"Examines the range of approaches to public anthropology and how its methods and insights can be used to effect social change, encourage broader public conversation and debate, and respond to inequality, injustice, and human suffering.",,3,,0;1;0;0,,,ANTH100;ANTH103;ANTH170,,,,,,,
ANTH205,"Gender, Sexuality, and the Body","An anthropological exploration of how understandings of gender, sex, and the body are culturally and historically shaped, with a focus on theory as well as case studies. How globalization and transnationalism are changing norms of gender and sexuality is also explored.",,3,,0;1;0;0,,,2,,,,,,,
ANTH218,"Tourism, Desire and Difference","Anthropological approaches to tourism, the politics of cultural encounters, and how the desire for difference shapes peoples' everyday lives and pleasure travel.",,3,,1;0;0;0,,,2,,,,,,,
ANTH227,Introduction to Medical Anthropology,"Overview of how social, cultural, historical, biological, and political-economic forces intersect to affect human health and disease. Biomedicine will be treated as only one among many efficacious systems of medical knowledge and how it is embedded in local and global forms of social inequalities will be explored in depth.",,3,,1;0;0;0,,,2,,,,,,,
ANTH245,Culture and Environment,Introduction to environmental anthropology with an emphasis on the relationship of cultural systems to contemporary environmental issues. Includes material from the Okanagan region and diverse societies around the world. May include one or more local field trips.,,3,,1;0;0;0,,,ANTH100;SUST104,,,,,,,
ANTH277,Anthropology of Reading and Writing,"Critical inquiry into the development and role of reading and writing in cross-cultural context. Emphasis on the origins of writing from archaeological evidence, the impact of writing systems on societies past and present, the social functions of writing, and innovations in new media.",,3,,0;1;0;0,,,2,,,,,,,
ANTH307,Ethnographic Methods: Acquiring Research Skills,"What are ethnographic methods and how is anthropological research conducted? Topics include research design, relationships with study participants, field techniques, ethical debates, data analysis and presentation. The emphasis is on interactive, workshop-style group learning.",,3,,1;0;0;0,ANTH407,,3,ANTH100;ANTH170;ANTH200;ANTH252,,,,,,
ANTH313,Anthropology of Gender,"Nature of gender relations, their social and cultural expression, and theories of gender inequality drawn from anthropological research.",,3,,1;0;0;0,,,ANTH100,,,,,,,
